#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405230.sorted.bam Mapped Reads/million: 30.700644
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405231.sorted.bam Mapped Reads/million: 30.864573
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405232.sorted.bam Mapped Reads/million: 19.470339

    	mapped_ERR405230.sorted.bam	mapped_ERR405231.sorted.bam	mapped_ERR405232.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
gltD	      1.561       1.515       3.076	      1.964       1.872       3.836	      1.556       1.520       3.077	
gltB	      1.044       1.081       2.125	      1.264       1.322       2.586	      0.863       0.887       1.750	
gltA	    623.141     688.566    1311.707	    871.055     960.255    1831.310	    483.842     532.962    1016.803	
yqeF	      8.758       8.647      17.405	     12.971      12.998      25.969	      6.404       6.447      12.851	
mesJ	      5.189       3.552       8.741	      5.989       4.435      10.424	      4.647       3.535       8.183	
phoU	      9.377      10.992      20.369	     10.666      11.335      22.001	      9.833      10.046      19.879	
astE	      0.807       0.605       1.412	      1.271       1.137       2.407	      1.325       1.060       2.385	
astD	      1.190       1.316       2.506	      1.536       1.611       3.147	      0.678       0.918       1.596	
phoR	     10.883      12.567      23.449	     12.150      14.350      26.500	     10.423      12.166      22.589	
astC	     10.061       9.451      19.512	     14.259      13.863      28.122	      7.493       7.283      14.776	
phoQ	     20.002      39.025      59.027	     31.382      57.917      89.298	     14.489      26.627      41.116	
astB	      0.654       0.654       1.309	      0.868       0.916       1.784	      0.688       0.650       1.338	
phoP	    146.697     127.974     274.672	    204.046     178.366     382.411	    105.764      93.285     199.049	
phoN	     26.344      24.484      50.827	     35.024      32.486      67.510	     20.326      17.666      37.992	
phoH	    119.509     151.586     271.096	    132.592     163.817     296.409	    103.862     139.003     242.865	
oadG	      0.670       0.670       1.340	      0.533       0.533       1.067	      0.211       0.423       0.634	
phoE	      5.877       3.372       9.249	      6.892       4.061      10.954	      6.341       3.707      10.048	
imp	     21.992      20.747      42.739	     27.309      26.044      53.353	     18.058      16.531      34.589	
assT	      1.994       2.030       4.024	      2.055       2.091       4.147	      1.515       1.572       3.087	
phoB	     31.959      30.212      62.171	     35.733      33.620      69.354	     28.136      26.797      54.933	
oadB	      0.050       0.050       0.100	      0.199       0.174       0.373	      0.158       0.158       0.316	
oadA	      0.092       0.147       0.238	      0.091       0.146       0.237	      0.058       0.000       0.058	
phnX	      1.086       0.925       2.011	      0.960       0.760       1.720	      0.444       0.254       0.697	
phnW	      1.711       1.682       3.393	      1.438       1.262       2.700	      1.256       1.256       2.512	
phnV	      1.110       1.028       2.139	      1.432       1.350       2.782	      0.584       0.454       1.038	
phnU	      0.449       0.449       0.899	      0.633       0.708       1.341	      0.295       0.236       0.531	
phnT	      2.025       2.172       4.196	      3.240       3.357       6.597	      2.267       2.545       4.812	
phnS	      1.028       1.060       2.088	      1.534       1.406       2.940	      1.216       0.962       2.178	
phnR	      3.710       3.529       7.238	      3.240       2.880       6.120	      2.853       2.782       5.635	
phnO	     11.628       9.597      21.225	     13.866      10.661      24.526	      9.168       6.848      16.016	
phnB	      1.467       1.174       2.641	      1.605       1.532       3.138	      1.619       1.157       2.776	
codB	      1.922       1.273       3.195	      3.100       2.248       5.348	      2.089       1.270       3.358	
phnA	     11.827      17.547      29.374	     15.814      24.107      39.921	      9.171      15.591      24.763	
codA	      4.068       3.967       8.035	      3.946       3.996       7.942	      3.769       3.488       7.257	
yqcC	      4.935       3.159       8.094	      5.596       4.418      10.014	      4.980       2.179       7.159	
yqcB	      3.910       4.534       8.445	      6.083       6.496      12.579	      4.198       4.657       8.855	
truB	     16.579      17.717      34.296	     16.663      17.828      34.491	     13.859      14.946      28.805	
truA	      8.333       9.535      17.869	      8.369       9.923      18.292	      6.191       7.518      13.709	
asrC	      2.152       2.281       4.433	      3.227       3.004       6.231	      2.431       2.431       4.863	
asrB	      1.551       1.193       2.744	      2.097       1.741       3.837	      2.195       1.819       4.013	
asrA	      1.186       1.342       2.527	      1.024       1.117       2.141	      1.181       1.328       2.509	
hmpA	     28.087      27.513      55.600	     29.951      29.625      59.576	     26.780      26.176      52.956	
valS	      7.539       7.504      15.043	      9.518       9.495      19.013	      6.258       6.276      12.534	
cbiT	      1.294       1.350       2.644	      1.791       1.623       3.413	      0.887       0.798       1.685	
ydhZ	      3.976       2.753       6.729	      6.693       3.194       9.887	      4.099       2.170       6.269	
cbiQ	      1.441       1.297       2.738	      2.389       1.720       4.110	      1.061       1.061       2.121	
cbiP	      1.735       1.756       3.491	      2.854       2.812       5.666	      1.823       1.925       3.748	
cbiO	      1.677       1.796       3.473	      2.978       3.176       6.154	      1.259       1.636       2.895	
cbiN	      2.079       3.234       5.313	      2.183       2.413       4.596	      1.457       2.550       4.007	
glpX	      2.692       2.485       5.177	      3.296       3.060       6.356	      2.053       1.679       3.732	
cbiL	      1.505       1.414       2.920	      2.042       1.770       3.812	      1.942       1.870       3.812	
cobU	      3.102       2.386       5.488	      2.967       3.323       6.290	      1.035       1.599       2.634	
cobT	      3.011       2.220       5.231	      2.420       2.329       4.750	      1.966       1.822       3.788	
cobS	      3.546       3.546       7.092	      3.310       3.310       6.619	      2.416       1.864       4.280	
cbiH	      0.673       0.583       1.256	      0.759       0.848       1.607	      0.354       0.354       0.707	
glpT	     20.013      17.832      37.846	     28.013      25.915      53.928	     13.719      12.547      26.266	
cbiG	      0.740       0.740       1.481	      0.706       0.675       1.381	      0.584       0.486       1.070	
glpR	     11.330       7.682      19.011	     13.532      10.330      23.862	      8.053       5.955      14.007	
cbiF	      0.505       0.547       1.052	      0.963       0.795       1.758	      0.265       0.332       0.597	
cbiE	      0.323       0.269       0.591	      0.321       0.321       0.642	      0.509       0.339       0.848	
glpQ	     20.590      23.418      44.008	     32.823      36.605      69.428	     14.243      15.729      29.972	
cbiD	      0.400       0.514       0.914	      0.938       0.881       1.819	      0.631       0.676       1.307	
mepA	      4.698       5.370      10.068	      5.852       6.598      12.449	      5.478       5.976      11.455	
cbiB	      0.814       0.746       1.561	      0.540       0.574       1.114	      0.803       0.696       1.498	
cbiA	      1.257       1.737       2.994	      1.637       2.501       4.138	      1.225       1.370       2.595	
glpK	      7.938       8.478      16.416	      8.605       9.251      17.856	      5.934       6.684      12.618	
ydhE	     16.950      15.954      32.904	     21.953      20.798      42.751	     14.130      13.345      27.474	
ydhD	    167.169     162.114     329.283	    198.494     193.374     391.868	    127.072     126.039     253.111	
glpG	      5.488       7.526      13.013	      7.252       9.123      16.375	      4.821       6.057      10.878	
ydhC	      3.700       3.376       7.076	      4.943       4.513       9.457	      3.066       3.151       6.218	
glpF	      6.237       6.545      12.783	      9.459       9.498      18.957	      5.767       6.678      12.445	
cobD	      1.904       4.224       6.128	      2.900       5.237       8.137	      1.689       3.143       4.831	
ydhB	      1.676       0.838       2.514	      1.667       1.042       2.709	      1.707       0.716       2.422	
glpE	     16.934       9.363      26.297	     20.213      11.593      31.805	     14.921       9.424      24.345	
cobC	      5.242       9.306      14.548	      5.852      10.374      16.226	      4.723       7.506      12.229	
ydhA	      8.175       6.770      14.945	     11.181       8.132      19.313	      6.244       4.230      10.473	
glpD	      7.620       6.886      14.505	      8.395       7.279      15.674	      6.739       5.854      12.593	
aspS	     12.731      11.776      24.508	     14.235      13.815      28.050	     11.558      10.255      21.813	
cobB	     15.374      11.816      27.189	     18.196      14.793      32.990	     13.164      10.286      23.450	
glpC	     52.237      55.218     107.454	     61.399      64.038     125.436	     39.113      41.485      80.598	
glpB	     26.498      24.921      51.418	     28.645      27.591      56.236	     17.405      16.672      34.077	
glpA	     41.071      40.111      81.182	     46.302      45.725      92.028	     28.943      28.250      57.193	
nfnB	     42.085      44.078      86.163	     57.517      64.106     121.622	     31.177      33.376      64.554	
ydgQ	      2.961       3.149       6.110	      4.769       4.722       9.491	      2.890       2.742       5.633	
aspC	     31.287      31.123      62.410	     44.152      43.363      87.514	     23.632      23.545      47.177	
cds3299	     12.901      11.752      24.653	     18.042      15.586      33.628	     11.346      10.876      22.223	
aspA	    195.912     195.254     391.166	    274.574     275.408     549.982	    149.148     148.648     297.796	
coaD	     14.047      13.165      27.212	     13.500      13.500      27.000	      7.918       8.453      16.371	
coaA	      2.158       2.055       4.213	      3.475       3.543       7.018	      2.160       2.160       4.321	
gloB	      9.479      10.685      20.164	     13.543      15.214      28.757	      9.171       9.443      18.615	
gloA	     43.670      42.233      85.902	     48.599      47.170      95.769	     30.715      30.086      60.801	
fkpB	     22.077      22.728      44.805	     26.568      27.864      54.431	     17.919      18.147      36.066	
