#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405227.sorted.bam Mapped Reads/million: 38.542759
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405228.sorted.bam Mapped Reads/million: 37.642071
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405229.sorted.bam Mapped Reads/million: 31.734760

    	ERR405227.sorted.bam	ERR405228.sorted.bam	ERR405229.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
gltD	      1.609       1.536       3.145	      1.835       1.760       3.595	      1.754       1.777       3.531	
gltB	      1.105       1.175       2.280	      1.060       1.185       2.245	      0.961       0.989       1.950	
gltA	    699.874     816.304    1516.178	    976.177    1130.152    2106.329	    543.887     643.722    1187.609	
yqeF	     14.612      14.392      29.004	     18.364      18.477      36.841	      9.622       9.515      19.137	
mesJ	      3.913       3.512       7.424	      5.589       5.301      10.889	      3.899       3.777       7.677	
phoU	      8.470       9.685      18.154	      8.709       9.917      18.625	      9.115      10.504      19.619	
astE	      0.669       0.616       1.285	      0.850       0.795       1.645	      0.813       0.715       1.528	
astD	      0.867       1.089       1.955	      1.280       1.569       2.849	      0.661       0.735       1.396	
phoR	      8.428      10.270      18.698	      8.466      10.639      19.105	      8.923      10.625      19.549	
astC	     12.391      11.609      24.000	     18.057      16.433      34.490	      9.631       8.963      18.593	
phoQ	     38.351      71.580     109.930	     54.475      97.953     152.428	     29.144      55.209      84.353	
astB	      0.463       0.463       0.927	      0.830       0.810       1.641	      0.516       0.492       1.008	
phoP	    289.894     259.106     549.001	    353.033     314.148     667.181	    224.500     202.232     426.732	
phoN	     31.320      29.356      60.677	     41.419      39.620      81.039	     24.355      21.970      46.325	
phoH	    167.445     212.720     380.166	    174.714     220.482     395.197	    147.605     194.632     342.237	
oadG	      0.107       0.747       0.854	      0.547       0.875       1.421	      0.389       0.778       1.167	
phoE	      4.903       2.686       7.589	      5.904       2.725       8.628	      6.165       3.232       9.396	
imp	     28.127      27.421      55.548	     38.129      37.666      75.795	     26.186      25.102      51.288	
assT	      1.790       1.632       3.422	      1.922       1.759       3.681	      1.543       1.508       3.051	
phoB	     27.524      26.284      53.808	     34.189      32.611      66.800	     28.497      26.990      55.487	
oadB	      0.080       0.100       0.179	      0.122       0.102       0.224	      0.145       0.121       0.266	
oadA	      0.044       0.044       0.088	      0.060       0.090       0.150	      0.089       0.071       0.160	
phnX	      0.865       0.737       1.602	      0.886       0.722       1.607	      0.700       0.739       1.439	
phnW	      1.293       1.199       2.491	      1.107       1.035       2.142	      0.942       0.828       1.770	
phnV	      1.081       0.852       1.933	      1.208       1.040       2.247	      0.915       0.955       1.870	
phnU	      0.209       0.149       0.358	      0.489       0.427       0.916	      0.761       0.580       1.340	
phnT	      2.922       3.132       6.054	      3.422       3.925       7.348	      2.356       2.669       5.025	
phnS	      1.049       1.075       2.124	      1.205       1.022       2.227	      1.088       0.715       1.802	
phnR	      3.351       3.171       6.522	      3.542       3.247       6.789	      3.851       3.720       7.571	
phnO	     16.850      13.447      30.297	     19.196      14.968      34.164	     11.249       8.674      19.923	
phnB	      1.402       1.286       2.688	      1.316       1.257       2.573	      0.852       0.994       1.845	
codB	      2.690       1.945       4.635	      2.627       1.949       4.576	      2.613       1.784       4.397	
phnA	     16.293      29.961      46.254	     19.687      32.417      52.104	     14.443      25.134      39.577	
codA	      3.544       3.139       6.684	      4.065       3.546       7.611	      3.026       3.173       6.199	
yqcC	      3.538       2.359       5.897	      6.118       3.784       9.902	      4.679       2.769       7.448	
yqcB	      3.048       2.916       5.964	      3.834       4.716       8.550	      3.260       3.622       6.882	
truB	     12.767      13.069      25.835	     15.630      17.148      32.779	     13.972      14.372      28.343	
truA	      5.393       6.255      11.648	      6.601       7.385      13.986	      6.434       7.791      14.225	
asrC	      2.073       2.149       4.222	      2.384       2.227       4.611	      2.144       1.709       3.853	
asrB	      1.869       1.426       3.295	      1.557       1.362       2.919	      1.424       1.231       2.655	
asrA	      1.243       1.441       2.684	      1.501       1.705       3.206	      1.056       1.207       2.264	
hmpA	     20.107      19.650      39.757	     21.770      21.369      43.139	     23.468      23.124      46.592	
valS	      7.658       7.731      15.389	     10.297      10.362      20.659	      7.072       7.194      14.266	
cbiT	      1.882       1.748       3.630	      1.560       1.331       2.891	      1.415       1.306       2.721	
ydhZ	      7.918       3.411      11.328	      9.604       3.866      13.470	      6.066       2.811       8.876	
cbiQ	      1.492       1.263       2.755	      1.998       1.450       3.448	      1.766       1.162       2.928	
cbiP	      1.672       1.859       3.531	      2.061       2.288       4.349	      1.533       1.616       3.149	
cbiO	      2.353       2.512       4.865	      2.377       2.832       5.209	      1.661       2.008       3.669	
cbiN	      1.288       2.300       3.588	      1.790       2.261       4.051	      1.006       2.347       3.352	
glpX	      1.414       1.273       2.686	      2.051       1.906       3.957	      2.404       2.175       4.579	
cbiL	      1.672       1.635       3.307	      1.339       1.042       2.381	      0.971       1.103       2.074	
cobU	      1.996       1.806       3.801	      3.455       2.287       5.741	      2.309       1.962       4.271	
cobT	      1.720       1.890       3.610	      1.960       2.158       4.118	      1.648       1.618       3.266	
cobS	      3.313       3.139       6.451	      3.821       3.928       7.748	      3.515       3.304       6.819	
cbiH	      0.429       0.429       0.858	      0.403       0.585       0.988	      0.434       0.477       0.911	
glpT	     17.430      14.624      32.054	     25.667      21.229      46.896	     12.405      10.179      22.584	
cbiG	      0.614       0.639       1.253	      0.906       0.855       1.761	      0.627       0.567       1.194	
glpR	     11.998       6.221      18.220	     14.176       9.450      23.626	      9.881       5.854      15.735	
cbiF	      0.570       0.570       1.140	      0.549       0.549       1.098	      0.529       0.611       1.140	
cbiE	      0.599       0.428       1.028	      0.307       0.351       0.658	      0.416       0.260       0.676	
glpQ	     32.123      35.151      67.273	     47.353      52.661     100.013	     23.273      25.185      48.458	
cbiD	      0.387       0.501       0.888	      0.792       0.792       1.585	      0.553       0.525       1.078	
mepA	      4.025       4.812       8.837	      4.959       5.539      10.498	      4.125       4.660       8.785	
cbiB	      0.270       0.270       0.541	      0.387       0.360       0.747	      0.295       0.394       0.689	
cbiA	      1.803       2.658       4.461	      1.883       2.871       4.754	      1.482       1.990       3.472	
glpK	      5.013       5.685      10.699	      7.621       8.679      16.299	      4.896       5.168      10.064	
ydhE	     20.582      19.525      40.107	     25.329      24.014      49.342	     17.613      16.535      34.149	
ydhD	    279.507     273.170     552.678	    330.396     320.853     651.249	    250.279     242.944     493.223	
glpG	      4.152       6.494      10.647	      6.202       8.120      14.322	      4.512       6.560      11.073	
ydhC	      4.453       4.088       8.541	      6.036       5.617      11.653	      4.599       4.311       8.910	
glpF	      4.784       4.539       9.323	      7.536       7.065      14.602	      3.948       4.246       8.194	
cobD	      2.772       5.379       8.151	      4.464       7.351      11.815	      1.957       4.489       6.446	
ydhB	      1.502       0.834       2.336	      2.107       1.538       3.645	      2.094       1.013       3.107	
glpE	     19.915      11.822      31.737	     22.910      15.111      38.021	     17.827      10.600      28.428	
cobC	      5.964      11.077      17.041	      7.852      13.916      21.768	      5.329       9.572      14.902	
ydhA	      8.547       6.207      14.753	     10.939       8.126      19.065	      7.291       5.314      12.604	
glpD	      5.244       4.075       9.319	      6.250       5.070      11.320	      6.077       5.095      11.172	
aspS	      9.965       9.614      19.580	     13.036      12.661      25.697	      9.597       9.171      18.768	
cobB	     17.188      15.044      32.232	     22.845      18.083      40.928	     15.800      12.755      28.554	
glpC	     71.387      74.089     145.476	     80.300      85.520     165.820	     60.906      63.790     124.695	
glpB	     31.979      29.466      61.445	     37.698      35.189      72.888	     28.935      27.760      56.695	
glpA	     49.868      47.925      97.792	     57.291      55.431     112.722	     44.220      42.692      86.912	
nfnB	     50.978      54.945     105.923	     69.787      78.033     147.819	     41.437      44.954      86.391	
ydgQ	      4.830       4.867       9.697	      4.984       5.099      10.082	      3.319       3.456       6.775	
aspC	     38.972      38.471      77.444	     54.136      54.604     108.740	     32.940      32.649      65.589	
cds3299	     12.820      12.549      25.369	     19.516      17.780      37.297	     12.975      12.769      25.744	
aspA	    315.080     314.629     629.708	    402.557     403.094     805.651	    234.415     234.064     468.479	
coaD	     15.189      16.540      31.729	     16.714      16.991      33.706	     12.539      12.670      25.209	
coaA	      2.101       1.882       3.983	      3.240       2.933       6.174	      2.087       2.121       4.208	
gloB	     10.055      11.668      21.724	     12.580      13.248      25.828	      8.753       9.545      18.298	
gloA	     59.839      58.758     118.598	     69.345      68.368     137.714	     57.616      55.917     113.533	
fkpB	     21.736      22.428      44.165	     26.035      31.820      57.855	     24.789      25.769      50.558	
fkpA	    173.158     179.050     352.209	    208.765     218.010     426.776	    221.271     225.003     446.274	
menG	    312.731     309.260     621.991	    390.947     387.722     778.669	    345.845     339.556     685.401	
menF	      3.463       4.925       8.388	      4.797       5.924      10.721	      2.918       4.133       7.051	
menE	      4.552       4.893       9.445	      6.117       5.826      11.943	      5.114       5.229      10.342	
glnS	     42.340      42.464      84.804	     70.222      70.668     140.889	     31.625      31.757      63.381	
menD	      1.615       1.739       3.354	      1.733       2.035       3.768	      1.527       1.641       3.168	
menC	      5.550       7.220      12.771	      8.055      10.980      19.035	      6.381       7.886      14.267	
glnQ	     23.397      28.242      51.639	     30.975      37.222      68.197	     17.739      21.400      39.138	
