				Contrast 24h vs zero			
	sample 7	sample 8	sample 9				
	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
glnA	2729.882853	685.8512957	4773.91441	6.960567751	2.799204987	1.74E-97	7.53E-94
osmB	756.5748215	197.061567	1316.088076	6.678562927	2.739537701	1.00E-89	2.17E-86
asr	4554.679911	144.9519694	8964.407852	61.84398798	5.950561449	4.46E-87	6.42E-84
t3459	486.807349	118.7150811	854.8996168	7.201272228	2.848251806	1.62E-84	1.75E-81
t1069	1082.41627	363.6352629	1801.197278	4.953307508	2.308392188	6.60E-65	5.70E-62
katG	1247.809918	583.2206008	1912.399234	3.279032379	1.713270148	1.83E-36	1.31E-33
yjbO	1885.653996	475.1798344	3296.128158	6.936590989	2.79422682	1.34E-33	8.27E-31
pspA	23693.30138	5541.183624	41845.41914	7.551711328	2.916803617	6.60E-33	3.56E-30
hutH	676.276154	339.301237	1013.251071	2.986287582	1.578353105	3.56E-29	1.71E-26
fucI	363.2023131	177.7405766	548.6640495	3.08688123	1.626149975	1.81E-28	7.83E-26
dcp	1506.415885	820.5717594	2192.260011	2.671624981	1.417717509	1.36E-27	5.33E-25
t1040	5982.723472	2971.448876	8993.998069	3.02680559	1.597796015	6.68E-27	2.40E-24
hutU	1096.959925	590.5827487	1603.337102	2.714839038	1.440866664	1.07E-26	3.55E-24
t4179	721.9931266	383.7604244	1060.225829	2.762728415	1.466093747	2.54E-26	7.84E-24
aldB	3585.643941	1933.868413	5237.419468	2.708260518	1.437366524	1.23E-25	3.55E-23
t3946	11218.18434	5557.356703	16879.01199	3.037237465	1.602759709	5.49E-25	1.48E-22
yheA	287.451591	466.0902775	108.8129044	0.233458859	-2.098759759	3.28E-24	8.05E-22
pspB	4892.40285	1750.909279	8033.896422	4.588413871	2.197995527	3.36E-24	8.05E-22
rpsV	659.7669264	1003.333518	316.2003347	0.315149777	-1.665890452	7.42E-24	1.69E-21
t2536	970.1252327	518.3550478	1421.895418	2.743091678	1.45580284	7.99E-24	1.73E-21
t1447	467.2618443	705.2740552	229.2496334	0.325050428	-1.621264542	1.38E-23	2.84E-21
asnA	1455.17708	791.8768211	2118.477339	2.675261205	1.419679759	2.43E-23	4.77E-21
t0384	558.527149	872.6340383	244.4202597	0.280094804	-1.836012876	6.00E-23	1.13E-20
motA	1249.102609	705.0817665	1793.123451	2.543142564	1.346612339	4.53E-22	8.15E-20
yebL	1013.755928	1496.821612	530.6902438	0.35454475	-1.495960363	4.88E-22	8.43E-20
nagE	1617.799514	954.8733368	2280.725691	2.388511233	1.256111662	1.19E-21	1.97E-19
t3945	2843.649816	1591.388722	4095.91091	2.573796618	1.363898056	8.62E-21	1.38E-18
t4180	236.854305	124.8333105	348.8752995	2.794729213	1.482708504	1.05E-20	1.63E-18
cheA	3443.276295	1916.270234	4970.282356	2.593727266	1.375026786	1.22E-20	1.82E-18
dinF	3275.927334	1810.474261	4741.380407	2.618860985	1.38893948	1.34E-20	1.86E-18
t2485	858.9076615	1263.523432	454.2918905	0.3595437	-1.475760962	1.30E-20	1.86E-18
rpmB	2138.565543	3173.387388	1103.743699	0.347812468	-1.523618445	3.57E-20	4.82E-18
garL	365.8553307	207.1034581	524.6072032	2.533068294	1.340885974	4.41E-20	5.77E-18
t0101	350.1844166	518.4628666	181.9059667	0.350856307	-1.511047798	6.34E-20	8.05E-18
rpsO	1845.688363	2702.17351	989.2032169	0.366076869	-1.449781478	6.93E-20	8.55E-18
yajB	657.8955895	948.1256535	367.6655255	0.387781434	-1.366684363	5.43E-19	6.51E-17
t3096	1243.961459	744.9042927	1743.018625	2.339922916	1.226461004	9.14E-19	1.07E-16
fur	3583.460526	5266.616888	1900.304164	0.360820657	-1.470646161	1.34E-18	1.53E-16
pspC	4994.077729	2125.751831	7862.403626	3.698646055	1.886997247	4.69E-18	5.19E-16
prfH	684.7347414	402.5830777	966.886405	2.401706526	1.264059873	6.81E-18	7.21E-16
lexA	3932.18326	2267.319275	5597.047245	2.468574809	1.303678366	6.85E-18	7.21E-16
ytfK	5758.571083	8558.578895	2958.563271	0.34568394	-1.532474516	9.02E-18	9.27E-16
t1800	8723.91454	13484.10335	3963.725733	0.293955455	-1.766330545	1.12E-17	1.13E-15
t3273	862.0087558	522.598772	1201.41874	2.298931425	1.200963432	1.43E-17	1.41E-15
uxaC	3837.178377	2234.420403	5439.936351	2.434607357	1.283689119	1.48E-17	1.42E-15
motB	2019.847657	1204.538338	2835.156975	2.353729131	1.234948303	1.62E-17	1.52E-15
katE	566.5387708	355.1996903	777.8778513	2.189973337	1.130913305	3.97E-17	3.65E-15
metL	576.5386915	346.727121	806.350262	2.325604815	1.217605964	4.08E-17	3.67E-15
t0522	522.1244261	327.353047	716.8958051	2.189977493	1.130916043	1.32E-16	1.17E-14
pmrD	2974.988289	4225.958136	1724.018441	0.407959186	-1.293503269	2.32E-16	2.01E-14
ssb	432.7688562	608.9276291	256.6100833	0.421413106	-1.246692913	4.26E-16	3.60E-14
t1479	229.5557572	337.0227291	122.0887852	0.362256829	-1.464915207	6.77E-16	5.62E-14
yebF	3832.38447	2288.379361	5376.389578	2.349431073	1.232311443	7.01E-16	5.71E-14
menB	1042.08583	668.5337734	1415.637886	2.117526357	1.082379927	1.02E-15	8.14E-14
t0575	1366.65238	1933.500943	799.8038162	0.413655767	-1.273497398	1.09E-15	8.59E-14
phsA	1472.372466	957.3780963	1987.366835	2.075843225	1.05369749	1.69E-15	1.30E-13
barA	3749.876034	2403.791886	5095.960182	2.119967294	1.084042008	1.84E-15	1.39E-13
