	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
asnA	1283.308417	791.8768211	2020.45581	2.551477397	1.351332861	3.82E-30	1.65E-26
t0575	1459.633408	1933.500943	748.832105	0.387293375	-1.368501273	4.19E-22	9.05E-19
t1021	2648.966509	3348.037535	1600.35997	0.477999411	-1.064919255	1.59E-19	2.29E-16
t0866	504.5527442	646.8116677	291.164359	0.450153226	-1.151511935	2.17E-19	2.34E-16
t0865	508.0813364	648.1993776	297.9042746	0.459587412	-1.121588811	6.62E-19	4.77E-16
t3151	7375.428086	9470.252431	4233.19157	0.44699881	-1.161657103	5.80E-19	4.77E-16
t1826	351.7065246	450.4739209	203.5554303	0.451869511	-1.146021878	2.89E-18	1.78E-15
t1827	269.9409629	350.5413093	149.0404432	0.425172267	-1.233880598	4.25E-18	2.30E-15
yacC	529.780619	666.8552584	324.1686598	0.486115474	-1.040629037	1.18E-16	5.67E-14
t1447	561.9514794	705.2740552	346.9676156	0.491961406	-1.023382954	1.80E-16	7.79E-14
t2864	1332.52554	1660.557824	840.4771146	0.506141432	-0.98238752	3.68E-16	1.45E-13
t0384	651.8305234	872.6340383	320.625251	0.367422352	-1.444488699	4.21E-16	1.51E-13
t0352	2440.819941	3026.696351	1562.005325	0.516075993	-0.954344574	7.33E-16	2.44E-13
t3150	6166.860842	7655.698877	3933.603789	0.513813808	-0.960682435	5.22E-15	1.61E-12
tktB	499.9338971	617.2419047	323.9718856	0.524870206	-0.929967389	6.96E-14	2.00E-11
t2485	1033.952353	1263.523432	689.5957339	0.545772018	-0.873629665	1.72E-13	4.65E-11
cyoE	2678.07359	1941.798639	3782.486015	1.947929069	0.961941145	1.95E-13	4.95E-11
ptsO	479.8666794	585.9119977	320.798702	0.547520282	-0.869015688	4.10E-12	9.84E-10
t1018	154.2178412	197.2108875	89.72827167	0.4549864	-1.136104674	4.65E-12	1.06E-09
ygaC	405.0650651	493.606085	272.2535352	0.55156033	-0.858409397	7.48E-12	1.62E-09
t1628	922.4012419	1109.472618	641.7941783	0.578467795	-0.789691453	1.30E-11	2.66E-09
nlpC	1035.394998	1249.761831	713.8447486	0.57118463	-0.807970937	1.85E-11	3.63E-09
t0860	435.9850265	543.1939531	275.1716365	0.506580817	-0.981135648	3.93E-11	7.37E-09
infA	662.8769094	809.3215993	443.2098746	0.547631343	-0.868723074	4.34E-11	7.80E-09
t1235	401.2640225	487.8925979	271.3211593	0.556108374	-0.846562033	4.94E-11	8.52E-09
t1733	724.5212455	889.4338211	477.1523821	0.536467549	-0.89843719	5.76E-10	9.57E-08
ogt	758.9121093	899.2588213	548.3920413	0.609826702	-0.713528773	1.14E-09	1.82E-07
rfaH	430.1889013	516.8752263	300.1594138	0.580719289	-0.78408714	1.33E-09	2.06E-07
gtrA	86.68768441	112.2935313	48.27891407	0.429934953	-1.217809692	1.42E-09	2.11E-07
mioC	778.7314508	921.474736	564.6165228	0.612731419	-0.706673264	1.46E-09	2.11E-07
t0864	115.1628221	145.1086191	70.24412659	0.48407963	-1.046683709	2.59E-09	3.60E-07
cyoD	2064.324642	1672.60816	2651.899365	1.585487521	0.664926522	3.45E-09	4.65E-07
t0101	433.3128146	518.4628666	305.5877366	0.589411039	-0.762654015	3.87E-09	5.06E-07
sifB	23617.96663	30227.28067	13703.99558	0.453365148	-1.141254605	4.30E-09	5.46E-07
yheA	348.735085	466.0902775	172.7022963	0.370534003	-1.432322154	6.39E-09	7.89E-07
t1835	1329.273906	1568.458557	970.4969308	0.618758415	-0.692551854	6.61E-09	7.92E-07
t4179	486.3962347	383.7604244	640.3499501	1.668619038	0.738654611	8.22E-09	9.59E-07
fba	3269.016626	2643.476811	4207.326349	1.591588143	0.670467056	9.87E-09	1.12E-06
t0867	128.9024676	160.2356517	81.90269153	0.511139005	-0.968212408	1.05E-08	1.16E-06
t0678	133.2617415	100.1375919	182.9479659	1.826965902	0.869449708	1.16E-08	1.25E-06
scsA	236.6445506	286.825163	161.3736319	0.562620205	-0.829766731	1.27E-08	1.34E-06
fliR	190.2912342	230.0825183	130.604308	0.567641162	-0.816948886	1.56E-08	1.60E-06
t1258	831.9811674	973.9215911	619.070532	0.6356472	-0.65370184	1.88E-08	1.89E-06
yffH	429.2901135	508.1568116	310.9900663	0.611996256	-0.708405267	1.98E-08	1.90E-06
t1011	288.6018616	346.1950935	202.2120136	0.584098439	-0.775716567	1.98E-08	1.90E-06
acnA	3671.642062	2971.448876	4721.931841	1.589100819	0.668210658	2.06E-08	1.94E-06
staC	585.6100944	688.6787291	431.0071424	0.625846457	-0.676119341	2.49E-08	2.29E-06
t3199	20947.78126	24914.2447	14998.0861	0.601988392	-0.732192427	2.88E-08	2.59E-06
fliQ	160.7382146	196.4302196	107.2002071	0.54574193	-0.873709203	3.15E-08	2.78E-06
ssaE	4698.496974	5577.628804	3379.79923	0.605956285	-0.722714376	3.32E-08	2.87E-06
sucD	3666.144475	2836.557558	4910.524852	1.731156429	0.791736094	4.40E-08	3.73E-06
garL	260.3648165	207.1034581	340.256854	1.642931785	0.71627258	5.26E-08	4.37E-06
t3272	165.781833	201.9796895	111.4850484	0.551961678	-0.857359988	7.20E-08	5.86E-06
yhdJ	129.8431012	160.6047457	83.70063453	0.521159161	-0.940204059	8.92E-08	7.13E-06
t0521	131.4517309	97.70572679	182.0707372	1.863460241	0.897984038	9.62E-08	7.42E-06
t3147	572.7297417	672.0965201	423.6795741	0.630385014	-0.665694857	9.62E-08	7.42E-06
yiiM	899.9649069	724.8796788	1162.592749	1.60384238	0.681532366	1.03E-07	7.77E-06
phoE	307.2615321	360.9507054	226.7277721	0.628140543	-0.670840704	1.18E-07	8.75E-06
pagD	137.5186369	167.2365416	92.94177984	0.55575043	-0.847490936	1.21E-07	8.87E-06
t1247	331.0940329	388.8305324	244.4892836	0.628781084	-0.669370278	1.42E-07	1.02E-05
radC	351.1722008	413.7612279	257.2886602	0.62182883	-0.685410589	1.46E-07	1.03E-05
katG	711.0791597	583.2206008	902.8669981	1.54807117	0.630471799	1.61E-07	1.12E-05
dcuR	312.391987	368.3240508	228.4938912	0.62036104	-0.68882001	2.05E-07	1.41E-05
ybfM	834.2719755	967.3114922	634.7127005	0.656161646	-0.607876828	2.37E-07	1.60E-05
ftsI	865.2834387	720.8354012	1081.955495	1.500974416	0.585899386	2.42E-07	1.61E-05
t4332	698.1093944	536.0387769	941.2153206	1.755871704	0.812187436	2.83E-07	1.85E-05
aldB	2323.753721	1933.868413	2908.581683	1.50402254	0.588826188	3.42E-07	2.21E-05
t3963	496.5596435	582.9835529	366.9237794	0.62938959	-0.667974778	3.58E-07	2.27E-05
t1306	57.49848606	74.74088274	31.63489105	0.42326087	-1.240380976	5.18E-07	3.24E-05
rplS	1711.723871	1433.159728	2129.570085	1.485926546	0.571362801	5.38E-07	3.32E-05
t0677	165.1244212	133.3352106	212.8082372	1.596039307	0.674496183	5.85E-07	3.56E-05
pipB	3612.153808	4166.077432	2781.268371	0.667598818	-0.582946694	6.50E-07	3.90E-05
narX	1521.642957	1286.760987	1873.965913	1.456343433	0.54235061	6.72E-07	3.97E-05
rplT	9020.062597	7439.138173	11391.44923	1.531286148	0.614743901	6.87E-07	4.01E-05
t2891	128.4685746	177.2943341	55.22993535	0.311515512	-1.682624088	7.26E-07	4.18E-05
sitA	973.555571	818.469109	1206.185264	1.473708965	0.559451643	7.99E-07	4.54E-05
exbD	324.7621531	265.1787944	414.1371912	1.561728162	0.643143357	8.36E-07	4.69E-05
asnB	896.0542711	751.9219183	1112.2528	1.479213165	0.564829969	8.57E-07	4.70E-05
ecnR	314.1351368	367.706944	233.777426	0.63577104	-0.653420794	8.60E-07	4.70E-05
uxaC	2687.131698	2234.420403	3366.198639	1.506519827	0.59121966	9.16E-07	4.95E-05
rbsD	2273.523633	2665.398989	1685.710598	0.632442124	-0.660994633	9.95E-07	5.30E-05
hutH	410.90794	339.301237	518.3179945	1.527604199	0.611270791	1.02E-06	5.33E-05
yajD	533.8456053	616.5965264	409.7192236	0.664485131	-0.589691178	1.02E-06	5.33E-05
hemA	2995.263164	3459.943851	2298.242132	0.664242609	-0.590217824	1.14E-06	5.87E-05
t0936	106.2258367	129.2794876	71.64536026	0.554189699	-0.851548201	1.22E-06	6.18E-05
t3141	278.3733428	327.5822683	204.5599546	0.624453685	-0.679333522	1.24E-06	6.22E-05
manY	1481.657761	1245.140373	1836.433841	1.47488097	0.560598527	1.28E-06	6.30E-05
t2673	1646.461655	1309.356231	2152.11979	1.643647266	0.716900724	1.27E-06	6.30E-05
zur	1214.084664	1392.762672	946.0676522	0.67927413	-0.557934184	1.38E-06	6.69E-05
t4331	462.7947025	362.7179919	612.9097684	1.689769413	0.756826389	1.54E-06	7.37E-05
ybdO	243.8522987	287.1186974	178.9527007	0.623270802	-0.682068967	1.62E-06	7.70E-05
t0568	412.9293996	475.7723143	318.6650276	0.669784723	-0.578230625	1.67E-06	7.85E-05
t2809	87.39021309	108.3477716	55.9538754	0.516428484	-0.953359519	1.74E-06	8.07E-05
lipB	433.1529049	500.3218749	332.39945	0.664371211	-0.589938536	1.85E-06	8.50E-05
t3273	356.5678465	414.5318448	269.6218489	0.650424937	-0.620545525	2.17E-06	9.86E-05
tpx	15974.94175	13146.28518	20217.9266	1.537919368	0.620979865	2.44E-06	0.000109534
t1410	126.4009387	153.096022	86.35831388	0.564079411	-0.826029816	2.70E-06	0.000120155
t0361	759.0736989	868.5175	594.9079972	0.684969499	-0.545888346	2.99E-06	0.000131731
cheB	292.0385526	245.0045064	362.5896219	1.479930419	0.565529347	3.04E-06	0.000132499
t1876	958.5249725	1098.240694	748.9513909	0.6819556	-0.552250282	3.07E-06	0.000132742
t1617	1166.290929	1328.865466	922.4291224	0.694147862	-0.526685087	3.44E-06	0.000146925
t2967	3219.721291	2739.829299	3939.559278	1.437884936	0.523948232	3.70E-06	0.000156636
tcfD	1245.309087	1425.340612	975.2618005	0.684230697	-0.547445265	3.83E-06	0.000160374
ydhA	162.9747427	195.903859	113.5810681	0.579779636	-0.786423433	3.87E-06	0.000160676
dinF	2161.580012	1810.474261	2688.238638	1.48482566	0.570293547	4.18E-06	0.000172068
gabD	257.1333043	203.856056	337.0491767	1.653368476	0.725408285	4.25E-06	0.000172986
t2832	364.9706533	420.7524847	281.2979063	0.668559109	-0.580872977	4.30E-06	0.000173625
t0296	352.0692794	406.810412	269.9575803	0.663595553	-0.591623877	4.64E-06	0.000185623
yjfO	1230.776887	1408.575868	964.0784151	0.684434851	-0.547014871	4.71E-06	0.00018652
t3355	220.3501361	257.6721984	164.3670427	0.637892034	-0.648615833	4.76E-06	0.000186734
minE	1740.947606	1484.808032	2125.156967	1.431267155	0.517292985	5.51E-06	0.000214316
yjeH	389.9827387	464.0894515	278.8226696	0.600795103	-0.735055042	6.12E-06	0.00023576
t1020	435.9219542	507.0754086	329.1917726	0.649196879	-0.623272031	6.80E-06	0.000260031
pduX	743.1270963	869.5497382	553.4931334	0.636528434	-0.651703133	6.88E-06	0.000260645
t2165	558.8921982	475.2364324	684.3758469	1.440074456	0.526143405	7.01E-06	0.000261167
t3945	1875.970054	1591.388722	2302.842051	1.447064453	0.533129182	7.02E-06	0.000261167
fucU	97.70770619	75.31344761	131.2990941	1.743368525	0.801877568	7.64E-06	0.00028206
fadB	87733.50875	68573.0929	116474.1325	1.698539873	0.764295086	8.27E-06	0.00029998
t3976	959.6432955	821.5157618	1166.834596	1.420343529	0.506239907	8.24E-06	0.00029998
t1431	1083.761011	1228.315169	866.9297734	0.705787729	-0.502693748	8.61E-06	0.000309845
manX	3972.101065	3377.051619	4864.675234	1.440509587	0.526579262	9.08E-06	0.000322584
fumA	12447.12512	10500.87325	15366.50293	1.463354768	0.549279571	9.11E-06	0.000322584
ybiI	200.355004	234.3872093	149.3066961	0.637008719	-0.650614975	9.47E-06	0.000332501
pfkB	1561.839796	1348.540444	1881.788823	1.395426316	0.480705946	1.05E-05	0.000364639
t3047	145.1420505	179.9461181	92.93594904	0.516465429	-0.953256314	1.07E-05	0.000370652
rpsP	1781.610916	2012.659714	1435.037719	0.713005636	-0.488014615	1.18E-05	0.000404613
zwf	1639.156858	1412.677105	1978.876487	1.400798866	0.486249821	1.41E-05	0.000479513
lexA	2675.150478	2267.319275	3286.897283	1.449684356	0.535738813	1.48E-05	0.000495324
deoB	2786.797918	2403.791886	3361.306965	1.398335265	0.483710303	1.48E-05	0.000495324
exoX	1221.988684	1385.346066	976.9526102	0.705204739	-0.503885926	1.52E-05	0.000503708
hns	24203.90431	20183.69474	30234.21866	1.497952632	0.582992004	1.54E-05	0.000506316
pepN	2144.478213	1850.893751	2584.854906	1.396544185	0.48186122	1.55E-05	0.000506316
yaiA	285.8169342	327.7554777	222.9091188	0.680107989	-0.556164256	1.57E-05	0.000508304
dcp	953.834316	820.5717594	1153.728151	1.406005188	0.491601918	1.64E-05	0.000527247
glpE	391.8782311	450.8025739	303.4917169	0.673225342	-0.570838611	1.67E-05	0.000534785
t2657	839.239594	949.5985546	673.701153	0.709458907	-0.495208971	1.70E-05	0.000541005
hha	2267.315365	2658.945112	1679.870744	0.631780903	-0.662503766	1.82E-05	0.000570955
t3579	572.3145429	653.6170175	450.360831	0.689028619	-0.537364188	1.82E-05	0.000570955
t1349	3005.305617	2583.746413	3637.644424	1.407895297	0.493540047	1.86E-05	0.000577961
menB	785.4199732	668.5337734	960.749273	1.437099083	0.523159534	1.94E-05	0.0005973
rci	362.1806602	420.8641333	274.1554506	0.651410821	-0.61836041	1.96E-05	0.000601133
waaL	1461.282262	1253.752832	1772.576407	1.413816472	0.499594856	2.13E-05	0.000647202
pmrD	3738.022774	4225.958136	3006.11973	0.711346311	-0.491376004	2.32E-05	0.000699671
gidB	386.8767656	439.4210737	308.0603033	0.701059466	-0.512391271	2.37E-05	0.000709742
proW	156.6256392	129.0159743	198.0401365	1.535004773	0.618243142	2.39E-05	0.000712543
metL	405.9751065	346.727121	494.8470849	1.427194629	0.513182091	2.46E-05	0.00072644
t1986	50.87037836	62.9702602	32.72055561	0.51961919	-0.944473383	2.61E-05	0.000767991
wzxC	180.8759983	209.2313858	138.3429172	0.661195817	-0.596850496	2.78E-05	0.000811089
envE	596.7222185	675.1597248	479.0659591	0.709559444	-0.495004542	3.04E-05	0.000879736
pyrB	101.1632104	81.46050258	130.7172721	1.604670583	0.682277162	3.17E-05	0.000912548
cedA	315.3048081	362.3896421	244.6775571	0.67517812	-0.566659943	3.26E-05	0.000931719
t0535	113.0329948	136.0292816	78.53856455	0.577365135	-0.792444104	3.53E-05	0.001001634
yfeC	130.9026817	153.7607061	96.61564515	0.628350686	-0.670358135	3.64E-05	0.001019349
t4274	121.6786969	143.2183502	89.36921704	0.624006749	-0.680366463	3.61E-05	0.001019349
t0102	4064.350837	4603.135647	3256.173624	0.707381636	-0.499439329	3.69E-05	0.001028516
yadS	1486.153865	1675.002025	1202.881624	0.718137415	-0.477668167	3.76E-05	0.001036492
grxB	14040.57661	11838.53214	17343.64332	1.465016365	0.55091678	3.77E-05	0.001036492
yejL	519.1232323	588.3650469	415.2605105	0.705787186	-0.502694859	3.93E-05	0.001075033
t1328	494.0281101	557.9466505	398.1502995	0.713599229	-0.486814039	4.02E-05	0.001093069
hutU	704.1408213	590.5827487	874.4779301	1.480703478	0.566282759	4.09E-05	0.001104876
fadA	34787.23498	28159.52485	44728.80017	1.588407489	0.667581068	4.33E-05	0.001161001
csgD	167.674761	194.8454143	126.9187811	0.651381925	-0.618424406	4.43E-05	0.001180571
deoD	323.8759871	278.412861	392.0706762	1.408234788	0.493887887	4.46E-05	0.001182469
t4281	519.945852	590.8459574	413.5956939	0.700005964	-0.514560882	4.53E-05	0.001193362
t1187	2636.874208	2297.00748	3146.674301	1.369901634	0.454072304	4.70E-05	0.00122812
ribB	3972.898371	3458.066631	4745.145981	1.372196226	0.456486804	4.72E-05	0.00122812
argH	602.7948851	522.598772	723.0890548	1.383640937	0.468469604	4.86E-05	0.001257264
int	841.6277001	947.2093685	683.2551975	0.721334924	-0.471258821	5.08E-05	0.001294845
acrR	1577.535746	1781.931071	1270.94276	0.713239014	-0.487542475	5.05E-05	0.001294845
t3352	192.5514804	222.5683037	147.5262455	0.662835826	-0.593276513	5.13E-05	0.001294845
t4266	257.3624169	301.9384939	190.4983015	0.630917572	-0.664476562	5.13E-05	0.001294845
mtlA	1569.330911	1358.093765	1886.186629	1.388848603	0.473889341	5.21E-05	0.001307184
t1329	172.9193054	208.5484565	119.4755788	0.572891216	-0.803666878	5.27E-05	0.001314639
yebL	1284.75981	1496.821612	966.6671069	0.645813168	-0.630811238	5.52E-05	0.001362556
ssb	535.9608593	608.9276291	426.5107045	0.70042922	-0.513688824	5.51E-05	0.001362556
t0560	2642.92593	2969.282838	2153.390567	0.725222447	-0.463504514	5.61E-05	0.001376815
t1320	7651.907437	8644.526723	6162.978508	0.712934173	-0.48815922	5.70E-05	0.001390156
dapB	288.5253238	245.5068265	353.0530697	1.438058056	0.52412192	5.91E-05	0.001434796
phnO	494.5805893	558.3830426	398.8769095	0.714342806	-0.485311519	6.05E-05	0.001459515
t4362	1386.623792	1555.747163	1132.938735	0.728228058	-0.457537768	6.19E-05	0.001483822
yodD	71.6661821	86.74818436	49.04317871	0.565351068	-0.822781073	6.59E-05	0.00157264
cII	2297.113656	1902.462604	2889.090234	1.518605531	0.602747168	6.85E-05	0.001625021
t0645	82.04334274	99.15840656	56.37074702	0.56849186	-0.814788402	7.01E-05	0.001648399
sucB	11956.49897	10296.82513	14446.00973	1.402957664	0.488471474	7.02E-05	0.001648399
infB	2070.268221	1789.036875	2492.11524	1.392992662	0.478187658	7.59E-05	0.001770621
sodA	21532.24681	18340.7488	26319.49381	1.435028313	0.521079202	7.66E-05	0.001779189
ybeF	198.3688483	228.6411477	152.9603991	0.668997687	-0.579926871	7.84E-05	0.001809714
hpt	355.245259	404.1633872	281.8680666	0.697411184	-0.519918594	7.96E-05	0.001827625
putA	199.9249676	169.7946648	245.1204219	1.443628527	0.529699557	8.23E-05	0.001879643
gabT	361.6806328	312.0371285	436.1458892	1.397737158	0.48309309	8.40E-05	0.001908859
yabK	251.2747213	215.6932955	304.6468601	1.412407647	0.498156538	8.78E-05	0.001977767
t4334	439.8398451	365.0359122	552.0457443	1.512305299	0.596749415	8.79E-05	0.001977767
