"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
t1447	437.2387371	705.2740552	169.2034189	0.239911589	-2.059425249	8.57E-44	3.70E-40
dinF	3857.245697	1810.474261	5904.017133	3.261033454	1.705329242	1.02E-36	2.20E-33
t4169	1740.600999	841.6897467	2639.512252	3.135968166	1.648910914	1.16E-34	1.68E-31
t0575	1276.564871	1933.500943	619.6287999	0.320469872	-1.641739362	3.20E-34	3.45E-31
t2536	1072.356148	518.3550478	1626.357248	3.137535276	1.64963168	8.54E-34	7.38E-31
prfH	795.8819958	402.5830777	1189.180914	2.95387705	1.562609777	4.06E-31	2.92E-28
t0101	339.1522334	518.4628666	159.8416002	0.308299033	-1.697597732	1.54E-29	9.51E-27
metL	657.9247112	346.727121	969.1223015	2.795057678	1.482878054	2.15E-29	1.16E-26
t3945	3048.91921	1591.388722	4506.449698	2.831771796	1.501705007	5.89E-28	2.83E-25
yajB	632.1881758	948.1256535	316.2506981	0.333553572	-1.584009605	7.17E-28	3.09E-25
motA	1273.268163	705.0817665	1841.45456	2.611689378	1.38498332	1.32E-27	5.19E-25
t2485	792.3860843	1263.523432	321.2487363	0.254248341	-1.975689735	1.57E-27	5.64E-25
argH	959.8779856	522.598772	1397.157199	2.673479683	1.418718713	2.86E-27	9.50E-25
t3199	15886.59934	24914.2447	6858.953978	0.275302505	-1.860910357	3.45E-27	1.06E-24
yebF	4290.078339	2288.379361	6291.777316	2.749446802	1.459141373	8.00E-27	2.30E-24
t1590	1969.705155	1064.523297	2874.887014	2.700633254	1.433297735	1.41E-26	3.82E-24
motB	2257.900265	1204.538338	3311.262191	2.748988626	1.458900938	1.71E-26	4.34E-24
t3096	1323.401437	744.9042927	1901.898581	2.553212003	1.352313335	4.02E-26	9.14E-24
yebG	4096.902817	2209.082579	5984.723055	2.709144109	1.437837138	4.02E-26	9.14E-24
fur	3531.877021	5266.616888	1797.137154	0.341231799	-1.551176	4.27E-26	9.23E-24
cheA	3627.816885	1916.270234	5339.363536	2.786331197	1.478366754	8.37E-26	1.72E-23
yabK	409.9007878	215.6932955	604.1082801	2.800774492	1.485825827	1.21E-25	2.37E-23
yebL	965.9524863	1496.821612	435.0833602	0.290671485	-1.782538548	1.97E-25	3.69E-23
t0709	230.5155471	113.4839179	347.5471763	3.062523597	1.61472096	4.33E-25	7.80E-23
proW	259.9741969	129.0159743	390.9324195	3.030108648	1.599369524	1.02E-24	1.77E-22
t0102	3120.634985	4603.135647	1638.134322	0.355873571	-1.490563298	1.36E-24	2.26E-22
yjfO	957.2209581	1408.575868	505.8660479	0.359132979	-1.477409953	1.47E-24	2.35E-22
t3581	724.3300402	410.8706539	1037.789427	2.525830007	1.336757546	3.30E-24	5.08E-22
t1800	8486.24699	13484.10335	3488.390635	0.258703938	-1.95062608	3.59E-24	5.34E-22
katG	975.3584492	583.2206008	1367.496298	2.3447325	1.229423342	4.57E-24	6.58E-22
t1628	715.439019	1109.472618	321.4054203	0.289692071	-1.787407897	1.06E-23	1.48E-21
t1258	653.4669956	973.9215911	333.0124001	0.341929374	-1.548229729	1.69E-23	2.28E-21
t0384	567.9177968	872.6340383	263.2015553	0.301617338	-1.729208735	2.04E-23	2.67E-21
yabJ	409.4216537	222.3239188	596.5193886	2.683109365	1.423905861	5.89E-23	7.48E-21
t4145	596.2399852	330.8878283	861.592142	2.60387983	1.380662869	6.31E-23	7.78E-21
lexA	4014.81871	2267.319275	5762.318146	2.541467455	1.345661756	6.53E-23	7.83E-21
ogt	627.2354964	899.2588213	355.2121715	0.39500549	-1.340055389	7.28E-23	8.50E-21
t3150	5132.299779	7655.698877	2608.90068	0.340778905	-1.553092063	1.88E-22	2.14E-20
t1021	2333.412758	3348.037535	1318.78798	0.393898804	-1.344103059	2.13E-22	2.36E-20
t3151	5984.728118	9470.252431	2499.203805	0.263900442	-1.921934326	3.95E-22	4.26E-20
bolA	538.9291027	771.5507251	306.3074803	0.397002388	-1.332780409	7.02E-22	7.39E-20
ssb	427.2168258	608.9276291	245.5060225	0.40317767	-1.310512359	8.41E-22	8.45E-20
