#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405224.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405225.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405226.sorted.bam

    	ERR405224.sorted.bam	ERR405225.sorted.bam	ERR405226.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
gltD	     89      84     173	     82      77     159	     46      46      92	
gltB	    265     277     542	    269     288     557	    129     136     265	
gltA	  38385   45447   83832	  38798   45416   84214	  18720   22355   41075	
yqeF	    719     716    1435	    645     648    1293	    345     346     691	
mesJ	    433     248     681	    392     253     645	    216     130     346	
phoU	    293     308     601	    215     251     466	    116     129     245	
astE	     53      49     102	     37      36      73	     21      19      40	
astD	     51      60     111	     49      56     105	     21      24      45	
phoR	    463     587    1050	    419     525     944	    204     263     467	
astC	    672     592    1264	    674     619    1293	    360     334     694	
phoQ	   3559    5839    9398	   3760    6049    9809	   1570    2652    4222	
astB	     34      31      65	     43      41      84	     16      17      33	
phoP	  11193    9948   21141	  11385   10073   21458	   5456    4959   10415	
phoN	   1316    1161    2477	   1253    1130    2383	    521     456     977	
phoH	   5883    7939   13822	   4896    6515   11411	   3225    4489    7714	
oadG	      5      12      17	      3      10      13	      1       3       4	
phoE	    525     228     753	    454     154     608	    224      69     293	
imp	   3967    4001    7968	   3889    3851    7740	   1841    1835    3676	
assT	    178     174     352	    160     157     317	     80      76     156	
phoB	   1021     958    1979	   1052     988    2040	    474     441     915	
oadB	     10       6      16	      4       4       8	      6       2       8	
oadA	      6       8      14	      6       8      14	      2       3       5	
phnX	     39      28      67	     45      34      79	     16      11      27	
phnW	     55      57     112	     47      46      93	     33      30      63	
phnV	     45      39      84	     31      26      57	     35      31      66	
phnU	     10      11      21	      7       9      16	      5       4       9	
phnT	    199     216     415	    200     219     419	    106     119     225	
phnS	     54      45      99	     49      40      89	     22      23      45	
phnR	    145     140     285	    121     116     237	    102      97     199	
phnO	    526     441     967	    571     471    1042	    262     218     480	
phnB	     31      35      66	     35      35      70	     23      19      42	
