#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405233.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405234.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405235.sorted.bam

    	mapped_ERR405233.sorted.bam	mapped_ERR405234.sorted.bam	mapped_ERR405235.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
gltD	     33      32      65	     31      31      62	     42      45      87	
gltB	     75      80     155	    109     114     223	     74      74     148	
gltA	  17890   19733   37623	  25376   27847   53223	  13519   14986   28505	
yqeF	    285     278     563	    458     451     909	    167     169     336	
mesJ	     93      77     170	    150     109     259	     67      58     125	
phoU	     86      94     180	    124     145     269	     92     109     201	
astE	     12       9      21	     19      19      38	     17      15      32	
astD	     26      33      59	     42      57      99	     18      21      39	
phoR	    136     161     297	    214     268     482	    183     231     414	
astC	    314     304     618	    500     481     981	    223     211     434	
phoQ	    615    1160    1775	   1057    1886    2943	    420     828    1248	
astB	     14      15      29	     25      24      49	     13      11      24	
phoP	   2081    1798    3879	   3073    2680    5753	   1514    1342    2856	
phoN	    333     322     655	    529     496    1025	    263     230     493	
phoH	   2430    3000    5430	   2617    3208    5825	   2098    2679    4777	
oadG	      0       1       1	      0       1       1	      0       3       3	
phoE	     96      46     142	    151      81     232	    100      51     151	
imp	    816     796    1612	   1338    1282    2620	    732     679    1411	
assT	     44      48      92	     70      74     144	     62      61     123	
phoB	    218     210     428	    392     375     767	    297     277     574	
oadB	      0       0       0	      4       4       8	      4       3       7	
oadA	      2       2       4	      5       2       7	      1       1       2	
phnX	     11      16      27	     17      16      33	      8       7      15	
phnW	     30      27      57	     42      41      83	     27      25      52	
phnV	      6       6      12	      6       5      11	     12       9      21	
phnU	      8       9      17	      7       9      16	      2       4       6	
phnT	     50      56     106	     74      73     147	     41      51      92	
phnS	     23      18      41	     22      19      41	     27      21      48	
phnR	     38      38      76	     48      44      92	     49      41      90	
phnO	    118      95     213	    154     120     274	     75      56     131	
phnB	     12      14      26	     14      10      24	     13      12      25	
codB	     47      42      89	     58      44     102	     39      29      68	
phnA	     76     114     190	     95     162     257	     65      96     161	
codA	     58      61     119	     65      66     131	     58      56     114	
yqcC	     19      14      33	     28      21      49	     25      18      43	
yqcB	     41      40      81	     56      62     118	     43      49      92	
truB	    185     193     378	    257     261     518	    186     189     375	
truA	     65      71     136	    111     114     225	    106     115     221	
asrC	     43      48      91	     48      47      95	     33      30      63	
asrB	     25      21      46	     30      24      54	     17      11      28	
asrA	     31      30      61	     31      36      67	     28      29      57	
hmpA	    545     528    1073	    656     640    1296	    615     602    1217	
valS	    319     329     648	    497     499     996	    235     232     467	
cbiT	     10       7      17	     13      12      25	     11      10      21	
ydhZ	     26      19      45	     38      20      58	     16       7      23	
cbiQ	     10       8      18	     25      18      43	     18      11      29	
cbiP	     57      59     116	     61      59     120	     55      64     119	
cbiO	     24      23      47	     36      44      80	     44      44      88	
cbiN	      8      12      20	      8      14      22	      4      11      15	
glpX	     55      49     104	     47      44      91	     64      52     116	
cbiL	     18      13      31	     26      17      43	     19      11      30	
cobU	     30      25      55	     50      41      91	     26      25      51	
cobT	     34      40      74	     63      72     135	     31      33      64	
cobS	     54      51     105	     70      67     137	     42      39      81	
cbiH	      6       8      14	      7      10      17	      4       7      11	
glpT	    663     609    1272	   1012     916    1928	    445     408     853	
cbiG	      9       7      16	     12       9      21	     10      11      21	
glpR	    122      82     204	    217     141     358	    149     117     266	
cbiF	     11      10      21	      5       4       9	      6       5      11	
cbiE	      6       4      10	      6       5      11	      4       5       9	
glpQ	    427     474     901	    766     860    1626	    284     323     607	
cbiD	     12      11      23	     15      15      30	     13      11      24	
mepA	     56      59     115	     84      87     171	     66      78     144	
cbiB	     13      12      25	     14      13      27	      6       7      13	
cbiA	     41      54      95	     56      78     134	     29      50      79	
glpK	    227     254     481	    327     365     692	    200     213     413	
ydhE	    452     423     875	    728     672    1400	    364     347     711	
ydhD	   1174    1145    2319	   1475    1441    2916	   1030     993    2023	
