#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405227.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405228.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405229.sorted.bam

    	ERR405227.sorted.bam	ERR405228.sorted.bam	ERR405229.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
gltD	     88      84     172	     98      94     192	     79      80     159	
gltB	    190     202     392	    178     199     377	    136     140     276	
gltA	  34636   40398   75034	  47181   54623  101804	  22162   26230   48392	
yqeF	    664     654    1318	    815     820    1635	    360     356     716	
mesJ	    195     175     370	    272     258     530	    160     155     315	
phoU	    237     271     508	    238     271     509	    210     242     452	
astE	     25      23      48	     31      29      60	     25      22      47	
astD	     43      54      97	     62      76     138	     27      30      57	
phoR	    421     513     934	    413     519     932	    367     437     804	
astC	    586     549    1135	    834     759    1593	    375     349     724	
phoQ	   2164    4039    6203	   3002    5398    8400	   1354    2565    3919	
astB	     24      24      48	     42      41      83	     22      21      43	
phoP	   7542    6741   14283	   8970    7982   16952	   4809    4332    9141	
phoN	    909     852    1761	   1174    1123    2297	    582     525    1107	
phoH	   5518    7010   12528	   5623    7096   12719	   4005    5281    9286	
oadG	      1       7       8	      5       8      13	      3       6       9	
phoE	    199     109     308	    234     108     342	    206     108     314	
imp	   2553    2489    5042	   3380    3339    6719	   1957    1876    3833	
assT	    124     113     237	    130     119     249	     88      86     174	
phoB	    732     699    1431	    888     847    1735	    624     591    1215	
oadB	      4       5       9	      6       5      11	      6       5      11	
oadA	      3       3       6	      4       6      10	      5       4       9	
phnX	     27      23      50	     27      22      49	     18      19      37	
phnW	     55      51     106	     46      43      89	     33      29      62	
phnV	     33      26      59	     36      31      67	     23      24      47	
phnU	      7       5      12	     16      14      30	     21      16      37	
phnT	    125     134     259	    143     164     307	     83      94     177	
phnS	     41      42      83	     46      39      85	     35      23      58	
phnR	     93      88     181	     96      88     184	     88      85     173	
phnO	    302     241     543	    336     262     598	    166     128     294	
phnB	     24      22      46	     22      21      43	     12      14      26	
codB	    130      94     224	    124      92     216	    104      71     175	
phnA	    211     388     599	    249     410     659	    154     268     422	
codA	    175     155     330	    196     171     367	    123     129     252	
yqcC	     45      30      75	     76      47     123	     49      29      78	
yqcB	     92      88     180	    113     139     252	     81      90     171	
truB	    465     476     941	    556     610    1166	    419     431     850	
truA	    169     196     365	    202     226     428	    166     201     367	
asrC	     81      84     165	     91      85     176	     69      55     124	
asrB	     59      45     104	     48      42      90	     37      32      69	
asrA	     50      58     108	     59      67     126	     35      40      75	
hmpA	    923     902    1825	    976     958    1934	    887     874    1761	
valS	    843     851    1694	   1107    1114    2221	    641     652    1293	
cbiT	     42      39      81	     34      29      63	     26      24      50	
ydhZ	     65      28      93	     77      31     108	     41      19      60	
cbiQ	     39      33      72	     51      37      88	     38      25      63	
cbiP	     98     109     207	    118     131     249	     74      78     152	
cbiO	     74      79     153	     73      87     160	     43      52      95	
cbiN	     14      25      39	     19      24      43	      9      21      30	
glpX	     60      54     114	     85      79     164	     84      76     160	
cbiL	     46      45      91	     36      28      64	     22      25      47	
cobU	     42      38      80	     71      47     118	     40      34      74	
cobT	     71      78     149	     79      87     166	     56      55     111	
cobS	     95      90     185	    107     110     217	     83      78     161	
cbiH	     12      12      24	     11      16      27	     10      11      21	
